,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol
1031,0.55,0.01,1.8,0.093,9.0,15.0,3.35,0.58,11.0
1184,0.64,0.23,2.1,0.08,11.0,119.0,3.36,0.7,10.9
818,0.715,0.0,2.35,0.071,21.0,47.0,3.29,0.45,9.4
1565,0.67,0.02,1.9,0.061,26.0,42.0,3.39,0.82,10.9
898,0.31,0.39,2.4,0.078,17.0,43.0,3.31,0.77,12.5
885,0.75,0.14,2.5,0.086,9.0,30.0,3.34,0.64,10.5
1330,0.6,0.26,2.1,0.083,17.0,91.0,3.29,0.56,9.8
894,0.63,0.03,2.2,0.08,17.0,88.0,3.53,0.58,9.8
271,0.18,0.51,4.0,0.104,4.0,23.0,3.28,0.97,10.1
284,0.59,0.07,3.4,0.102,32.0,71.0,3.31,0.71,9.8
1010,0.28,0.45,1.7,0.067,7.0,12.0,3.25,0.55,12.3
1069,0.62,0.35,2.8,0.086,28.0,52.0,3.31,0.62,10.8
847,0.68,0.16,1.8,0.078,12.0,39.0,3.5,0.7,9.9
1064,0.74,0.09,2.0,0.067,5.0,10.0,3.28,0.57,11.8
924,0.47,0.27,2.3,0.055,14.0,28.0,3.18,0.8,11.2
527,0.38,0.49,2.5,0.097,33.0,85.0,3.39,0.77,11.4
878,0.61,0.19,4.0,0.094,30.0,69.0,3.22,0.5,10.0
729,0.865,0.03,3.2,0.071,27.0,58.0,3.61,0.49,12.7
1422,0.54,0.0,2.1,0.079,39.0,55.0,3.39,0.84,11.4
829,0.61,0.08,2.1,0.071,16.0,24.0,3.56,0.77,11.1
197,0.3,0.6,2.0,0.067,12.0,27.0,3.11,0.97,10.1
1525,0.48,0.08,2.1,0.064,18.0,34.0,3.33,0.64,9.7
89,0.62,0.08,1.8,0.076,8.0,24.0,3.48,0.53,9.0
105,0.575,0.22,2.1,0.077,12.0,65.0,3.29,0.51,9.2
11,0.5,0.36,6.1,0.071,17.0,102.0,3.35,0.8,10.5
1067,0.31,0.53,2.2,0.06,3.0,10.0,3.02,0.83,10.9
1207,0.72,0.55,1.7,0.136,24.0,52.0,3.35,0.94,10.0
551,0.43,0.24,2.8,0.092,14.0,45.0,3.19,0.73,10.0
1418,0.53,0.01,1.6,0.077,3.0,19.0,3.16,0.46,9.8
496,0.52,0.25,1.9,0.081,14.0,38.0,3.43,0.65,9.0
1536,0.53,0.08,1.9,0.077,24.0,45.0,3.6,0.68,10.3
436,0.67,0.3,2.0,0.06,38.0,62.0,3.26,0.56,10.2
734,0.56,0.2,2.0,0.075,9.0,39.0,3.48,0.62,9.3
656,0.43,0.39,2.2,0.106,8.0,32.0,2.89,0.5,9.6
490,0.775,0.27,2.8,0.078,24.0,56.0,3.31,0.67,10.6
1373,0.75,0.27,3.8,0.11,34.0,89.0,3.24,0.45,9.3
241,0.38,0.56,2.1,0.093,6.0,24.0,3.14,0.71,10.9
531,0.38,0.49,2.7,0.098,12.0,42.0,3.16,0.61,10.3
632,0.41,0.14,3.0,0.087,21.0,43.0,3.32,0.57,10.5
906,0.54,0.27,2.6,0.084,12.0,78.0,3.39,0.71,11.0
603,0.46,0.52,2.2,0.071,12.0,35.0,3.1,0.56,9.0
1452,0.58,0.02,2.0,0.062,37.0,53.0,3.35,0.76,11.6
968,0.4,0.43,2.4,0.068,29.0,46.0,3.2,0.6,12.2
1065,0.61,0.18,2.4,0.083,6.0,20.0,3.29,0.6,10.2
1087,0.19,0.42,1.6,0.057,18.0,30.0,3.29,0.69,11.2
358,0.43,0.66,3.1,0.109,10.0,23.0,3.15,0.85,10.4
973,0.34,0.44,1.7,0.079,6.0,12.0,3.52,0.63,10.7
750,0.65,0.1,2.9,0.08900000000000001,17.0,40.0,3.29,0.55,9.5
1057,0.42,0.25,3.9,0.104,28.0,90.0,3.15,0.57,9.1
246,0.68,0.07,1.9,0.075,16.0,51.0,3.38,0.52,9.5
249,0.66,0.0,2.0,0.084,6.0,23.0,3.61,0.96,9.9
1145,0.2,0.43,2.5,0.076,31.0,51.0,3.53,0.81,10.4
856,0.36,0.39,1.5,0.08,41.0,55.0,3.47,0.73,10.9
844,0.25,0.46,1.7,0.062,26.0,42.0,3.18,0.83,10.6
1032,0.82,0.0,4.1,0.095,5.0,14.0,3.36,0.53,9.6
1573,0.58,0.2,2.4,0.075,15.0,50.0,3.58,0.67,12.5
1097,0.52,0.38,1.5,0.096,5.0,18.0,3.2,0.52,9.4
779,0.52,0.03,2.6,0.076,21.0,92.0,3.5,0.6,9.8
988,0.39,0.12,1.7,0.097,19.0,27.0,3.16,0.49,9.4
975,0.41,0.3,2.1,0.083,35.0,72.0,3.44,0.52,9.4
403,0.6,0.49,2.7,0.085,10.0,41.0,3.15,0.63,10.5
1166,0.54,0.26,2.0,0.111,7.0,60.0,2.94,0.98,10.2
851,0.43,0.44,1.9,0.085,9.0,22.0,3.28,0.55,9.5
979,0.45,0.49,1.4,0.075,3.0,6.0,3.13,0.63,10.4
1538,0.64,0.09,2.5,0.081,15.0,26.0,3.57,0.63,12.0
623,0.51,0.25,2.9,0.077,21.0,45.0,3.49,0.96,12.1
1150,0.33,0.32,2.8,0.067,4.0,12.0,3.3,0.76,12.8
1271,0.44,0.2,1.6,0.049,24.0,64.0,3.38,0.57,11.7
1339,0.51,0.02,1.7,0.084,13.0,31.0,3.36,0.54,10.5
793,0.6,0.0,2.6,0.055,7.0,13.0,3.38,0.56,10.8
1045,0.44,0.0,1.4,0.07,32.0,38.0,3.32,0.58,11.4
824,0.48,0.28,2.8,0.068,6.0,16.0,3.24,0.53,10.3
1298,0.6,0.0,1.4,0.063,11.0,18.0,3.45,0.56,12.2
299,0.67,0.06,2.1,0.08,8.0,33.0,3.68,0.71,9.6
1349,0.57,0.0,2.8,0.081,21.0,41.0,3.41,0.52,10.8
341,0.42,0.48,2.7,0.065,5.0,18.0,3.21,0.87,11.3
335,0.695,0.53,3.4,0.128,7.0,21.0,3.17,0.84,12.2
346,0.815,0.02,2.7,0.07200000000000001,17.0,34.0,3.58,0.89,12.3
116,0.54,0.28,1.9,0.077,11.0,40.0,3.39,0.61,10.0
332,0.58,0.28,3.2,0.066,21.0,114.0,3.22,0.54,9.4
775,1.0,0.0,3.0,0.102,7.0,16.0,3.43,0.46,10.0
1480,0.62,0.03,1.5,0.08,6.0,13.0,3.66,0.62,10.1
1579,0.56,0.09,1.7,0.053,24.0,32.0,3.54,0.6,11.3
1587,0.61,0.11,1.8,0.066,18.0,28.0,3.55,0.66,10.9
342,0.39,0.47,1.8,0.118,6.0,14.0,3.3,0.75,9.8
289,0.42,0.53,3.3,0.105,33.0,98.0,3.2,0.95,9.2
336,0.43,0.45,1.9,0.052000000000000005,6.0,16.0,3.35,0.7,12.5
1134,0.28,0.35,1.7,0.061,6.0,15.0,3.3,0.74,11.8
817,0.29,0.42,1.6,0.084,19.0,27.0,3.28,0.73,11.9
434,0.41,0.55,3.2,0.076,22.0,54.0,3.15,0.89,9.9
1547,0.6,0.1,1.6,0.048,12.0,26.0,3.55,0.51,12.1
719,0.66,0.0,3.9,0.086,17.0,45.0,3.46,0.54,9.5
277,0.18,0.51,4.0,0.104,4.0,23.0,3.28,0.97,10.1
1403,0.33,0.33,1.7,0.061,3.0,13.0,3.23,1.1,10.0
1183,0.66,0.07,1.6,0.07,16.0,61.0,3.29,0.6,9.3
875,0.31,0.4,2.8,0.109,7.0,16.0,3.31,0.79,11.8
1143,0.22,0.3,1.8,0.065,16.0,20.0,3.61,0.82,10.0
755,0.91,0.07,1.9,0.058,22.0,47.0,3.51,0.43,10.7
835,0.665,0.1,1.5,0.066,27.0,55.0,3.39,0.51,9.3
511,0.59,0.31,2.2,0.09,26.0,62.0,3.18,0.63,10.2
1243,0.56,0.22,2.4,0.08199999999999999,10.0,86.0,3.37,0.62,9.5
1002,0.29,0.33,2.05,0.063,13.0,27.0,3.26,0.84,11.7
1264,0.37,0.32,1.8,0.066,26.0,51.0,3.38,0.72,11.8
1282,0.765,0.0,2.0,0.084,9.0,22.0,3.33,0.68,10.9
122,0.695,0.0,2.5,0.075,3.0,13.0,3.49,0.52,9.2
488,0.32,0.55,2.8,0.081,35.0,67.0,3.32,0.92,10.8
606,0.41,0.48,4.6,0.07200000000000001,10.0,20.0,3.34,0.79,12.2
486,0.67,0.39,1.9,0.054000000000000006,6.0,17.0,3.17,0.47,10.0
1458,0.29,0.4,1.7,0.067,8.0,20.0,3.39,0.6,10.5
913,0.395,0.46,4.6,0.094,3.0,10.0,3.27,0.64,12.2
862,0.42,0.32,2.7,0.067,7.0,25.0,3.24,0.44,10.4
1219,0.39,0.4,1.3,0.044,25.0,50.0,3.2,0.83,10.9
233,0.52,0.25,2.6,0.081,10.0,37.0,3.46,0.5,11.0
1191,0.885,0.0,2.3,0.166,6.0,12.0,3.56,0.51,10.8
1061,0.4,0.5,1.8,0.071,7.0,16.0,3.21,0.69,12.5
466,0.5,0.42,2.0,0.069,21.0,51.0,3.16,0.72,11.5
741,0.53,0.24,2.6,0.078,28.0,139.0,3.21,0.57,9.5
525,0.64,0.24,2.8,0.105,29.0,53.0,3.24,0.67,9.9
401,0.26,0.3,1.7,0.059,20.0,38.0,3.29,0.47,10.8
74,0.32,0.54,2.5,0.094,28.0,83.0,3.28,0.82,9.6
725,0.66,0.17,3.0,0.077,5.0,13.0,3.29,0.55,10.4
272,0.37,0.58,4.0,0.071,17.0,65.0,3.22,0.78,10.1
828,0.57,0.09,2.3,0.065,34.0,45.0,3.46,0.74,12.7
1508,0.27,0.6,2.1,0.07400000000000001,17.0,25.0,3.38,0.72,10.6
85,0.55,0.15,2.2,0.076,19.0,40.0,3.41,0.59,10.1
316,0.56,0.23,3.4,0.102,37.0,92.0,3.3,0.65,10.1
647,0.845,0.01,2.2,0.07,5.0,14.0,3.32,0.58,11.0
1341,0.51,0.02,1.7,0.084,13.0,31.0,3.36,0.54,10.5
321,0.61,0.26,3.4,0.09,25.0,87.0,3.24,0.62,9.7
1162,0.32,0.42,2.3,0.075,12.0,19.0,3.14,0.71,11.8
992,0.4,0.1,2.0,0.076,30.0,47.0,3.36,0.48,9.4
1256,0.59,0.22,1.8,0.08199999999999999,43.0,60.0,3.1,0.42,9.2
1362,0.475,0.4,1.4,0.091,6.0,28.0,3.07,0.65,10.0333333333333
785,0.35,0.41,2.3,0.083,11.0,61.0,3.21,0.5,9.5
179,0.61,0.14,2.4,0.067,10.0,42.0,3.19,0.59,9.5
348,0.56,0.31,2.8,0.08900000000000001,15.0,46.0,3.11,0.92,10.0
874,0.38,0.46,2.1,0.104,6.0,10.0,3.12,0.65,11.8
1217,0.34,0.37,1.9,0.057,43.0,74.0,3.23,0.81,12.0
597,0.58,0.58,1.9,0.071,5.0,18.0,3.09,0.63,10.0
765,0.67,0.1,3.0,0.091,12.0,48.0,3.31,0.54,9.5
587,0.73,0.24,1.9,0.108,18.0,102.0,3.26,0.59,9.3
514,0.51,0.64,2.4,0.107,6.0,15.0,3.09,0.66,11.8
236,0.63,0.0,1.9,0.097,14.0,38.0,3.37,0.58,9.0
149,0.4,0.44,2.8,0.08900000000000001,11.0,43.0,3.53,0.61,10.5
1551,0.67,0.0,2.3,0.083,18.0,27.0,3.44,0.54,9.4
98,0.9,0.06,2.5,0.079,5.0,10.0,3.39,0.56,9.8
1127,0.76,0.0,2.9,0.07200000000000001,26.0,52.0,3.51,0.6,11.5
1055,0.64,0.27,2.0,0.095,5.0,77.0,3.13,0.62,9.1
,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol
1348,0.655,0.03,1.8,0.078,7.0,12.0,3.34,0.39,9.5
119,0.69,0.08,1.8,0.097,22.0,89.0,3.34,0.54,9.2
1413,0.57,0.25,2.0,0.104,12.0,89.0,3.04,0.9,10.1
1565,0.67,0.02,1.9,0.061,26.0,42.0,3.39,0.82,10.9
527,0.38,0.49,2.5,0.097,33.0,85.0,3.39,0.77,11.4
1583,0.46,0.29,2.1,0.07400000000000001,32.0,98.0,3.33,0.62,9.8
1214,0.33,0.46,1.9,0.081,6.0,9.0,3.1,0.48,10.4
407,0.39,0.66,3.0,0.093,12.0,30.0,3.18,0.63,10.8
731,0.875,0.13,3.45,0.08800000000000001,4.0,14.0,3.44,0.52,11.5
622,0.58,0.22,1.9,0.08,9.0,32.0,3.13,0.55,9.5
430,0.24,0.47,2.1,0.066,6.0,24.0,3.15,0.9,11.0
1004,0.43,0.29,1.6,0.081,27.0,45.0,3.25,0.54,10.3
478,0.68,0.24,2.2,0.087,5.0,28.0,3.14,0.6,10.2
237,0.645,0.0,1.9,0.097,15.0,39.0,3.37,0.58,9.2
506,0.24,0.46,1.8,0.075,6.0,21.0,3.25,1.02,10.8
47,0.29,0.52,1.6,0.113,12.0,37.0,3.25,0.58,9.5
517,0.61,0.49,2.1,0.2,5.0,16.0,3.16,0.63,8.4
1535,0.55,0.13,2.2,0.075,15.0,35.0,3.36,0.59,9.7
319,0.77,0.12,2.9,0.08199999999999999,30.0,74.0,3.3,0.64,10.4
1553,0.735,0.0,2.2,0.08,18.0,28.0,3.41,0.6,9.4
167,0.55,0.03,1.6,0.07200000000000001,17.0,42.0,3.37,0.48,9.0
691,0.92,0.24,2.6,0.087,12.0,93.0,3.48,0.54,9.8
993,0.34,0.28,2.0,0.08199999999999999,31.0,68.0,3.45,0.48,9.4
829,0.61,0.08,2.1,0.071,16.0,24.0,3.56,0.77,11.1
1178,0.915,0.0,2.1,0.041,17.0,78.0,3.68,0.73,11.4
490,0.775,0.27,2.8,0.078,24.0,56.0,3.31,0.67,10.6
607,0.48,0.41,3.3,0.092,26.0,52.0,3.31,0.53,10.5
1324,0.46,0.24,1.7,0.077,18.0,34.0,3.39,0.6,10.6
1382,0.6,0.22,2.1,0.08,25.0,105.0,3.3,0.49,9.9
345,0.685,0.0,1.9,0.067,40.0,63.0,3.6,0.81,9.9
1503,0.44,0.39,2.5,0.077,6.0,14.0,3.51,0.69,11.0
1192,0.25,0.37,2.5,0.063,11.0,41.0,3.52,0.8,12.4
1158,0.41,0.43,2.8,0.076,22.0,54.0,3.42,1.16,10.6
520,0.25,0.49,2.7,0.08800000000000001,15.0,33.0,3.42,0.9,10.0
49,0.31,0.37,1.4,0.07400000000000001,12.0,96.0,3.32,0.58,9.2
438,0.41,0.55,3.2,0.076,22.0,54.0,3.15,0.89,9.9
222,0.61,0.04,1.5,0.057,5.0,10.0,3.42,0.6,9.5
55,0.62,0.04,3.8,0.084,25.0,45.0,3.34,0.53,9.5
531,0.38,0.49,2.7,0.098,12.0,42.0,3.16,0.61,10.3
54,0.51,0.15,2.8,0.11,33.0,73.0,3.17,0.63,10.2
348,0.56,0.31,2.8,0.08900000000000001,15.0,46.0,3.11,0.92,10.0
852,0.42,0.32,2.5,0.08,26.0,122.0,3.22,1.07,9.7
857,0.26,0.34,2.5,0.073,16.0,47.0,3.4,0.78,11.3
1384,0.755,0.15,1.8,0.107,20.0,84.0,3.19,0.5,9.5
813,0.39,0.24,2.1,0.102,4.0,7.0,3.44,0.58,11.4
512,0.4,0.48,2.1,0.125,15.0,49.0,3.03,0.81,9.7
525,0.64,0.24,2.8,0.105,29.0,53.0,3.24,0.67,9.9
246,0.68,0.07,1.9,0.075,16.0,51.0,3.38,0.52,9.5
1562,0.695,0.13,2.0,0.076,12.0,20.0,3.29,0.54,10.1
426,0.67,0.08,2.1,0.045,19.0,48.0,3.49,0.49,11.4
1221,0.32,0.52,1.8,0.132,17.0,44.0,3.28,0.77,11.5
704,0.765,0.04,1.6,0.078,4.0,14.0,3.29,0.54,9.7
29,0.645,0.0,2.0,0.08199999999999999,8.0,16.0,3.38,0.59,9.8
721,0.48,0.24,2.85,0.094,35.0,106.0,3.1,0.53,9.2
1494,0.31,0.09,1.4,0.066,15.0,28.0,3.42,0.7,10.0
952,0.31,0.4,2.2,0.058,6.0,10.0,3.31,0.68,11.2
445,0.735,0.1,2.1,0.079,6.0,31.0,3.23,0.56,10.1
592,0.45,0.49,2.6,0.084,21.0,75.0,3.35,0.57,9.7
1479,0.28,0.6,3.0,0.104,10.0,22.0,3.39,0.68,10.6
960,0.47,0.27,1.9,0.058,18.0,38.0,3.16,0.85,11.1
1278,0.715,0.22,2.3,0.075,13.0,81.0,3.24,0.54,9.5
1251,0.58,0.14,2.2,0.077,27.0,60.0,3.28,0.59,9.8
389,0.38,0.31,2.5,0.096,16.0,49.0,3.19,0.7,10.0
123,0.71,0.0,2.6,0.08,11.0,34.0,3.44,0.53,9.5
446,0.38,0.6,2.6,0.081,31.0,72.0,3.1,0.73,10.5
1473,0.6,0.08,1.8,0.071,14.0,45.0,3.38,0.54,11.0
1340,0.51,0.02,1.7,0.084,13.0,31.0,3.36,0.54,10.5
74,0.32,0.54,2.5,0.094,28.0,83.0,3.28,0.82,9.6
1077,0.37,0.65,6.4,0.08,3.0,8.0,3.27,0.58,11.0
709,0.31,0.47,1.6,0.062,13.0,33.0,3.27,0.66,10.0
1303,0.28,0.44,1.8,0.081,28.0,68.0,3.36,0.66,11.2
858,0.28,0.47,1.7,0.054000000000000006,17.0,32.0,3.15,0.67,10.6
849,0.63,0.21,1.6,0.08,12.0,32.0,3.58,0.66,9.8
464,0.315,0.54,2.1,0.084,5.0,15.0,2.98,0.7,9.2
1298,0.6,0.0,1.4,0.063,11.0,18.0,3.45,0.56,12.2
152,0.6,0.03,1.8,0.095,25.0,99.0,3.35,0.54,10.1
571,0.36,0.24,2.2,0.095,19.0,42.0,3.57,0.57,11.7
856,0.36,0.39,1.5,0.08,41.0,55.0,3.47,0.73,10.9
